product,usernames_count,rating_medio,usernames_count_log,rating_medio_log,coreness
- Nintendo Wii U,1,4.1923076923076925,0.0,1.4332513442076618,0.21400523560209425
1 AW1 Waterproof Mirrorless Camera with 11-27.5mm Lens,7,2.8461538461538463,1.9459101490553132,1.0459685551826878,0.1568499127399651
1.2 Cu. Ft. 1200 Watt SN66KB Microwave with Inverter and Genius Sensor,13,4.037974683544304,2.5649493574615367,1.395743250317823,0.2469458987783595
"100S-14IBR 14"" Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory",95,4.180035650623886,4.553876891600541,1.4303197753576833,0.09445898778359511
1155W 7.2-Ch. with Dolby Atmos 4K Ultra HD HDR Compatible A/V Home Theater Receiver,6,3.9878048780487805,1.791759469228055,1.3832409236330003,0.17713787085514834
"2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX130 - 512GB SSD",2,3.625,0.6931471805599453,1.2878542883066382,0.9764808362369338
"2019 Google Pixel 3a XL 64GB LTE Cell Phone (Unlocked) Just Black - 6"" Full HD+ (2160 x 1080) OLED 12.2MP camera Qualcomm Snapdragon 670 Android 9.0 Pie OS (Free unlimited Google Picture storage)",7,4.138888888888889,1.9459101490553132,1.4204273674893493,0.22142233856893542
"21.7 cu. ft. French Door Refrigerator in Stainless Steel, Counter Depth",18,3.9558823529411766,2.8903717578961645,1.3752036744257325,0.2399650959860384
24 A9-9425 8GB 1TB W10,1,4.0625,0.0,1.4017985476558559,0.19982547993019198
"250 Sq. Ft. 6,000 BTU Compact Window Air Conditioner",7,3.6805555555555554,1.9459101490553132,1.303063706970167,0.20418848167539266
"27"" Trim Kit for Gallery Series Microwaves",1,2.586206896551724,0.0,0.9501922835498364,0.9268292682926829
"29"" IPS LED HD 21:9 Ultrawide Monitor",2,4.105263157894737,0.6931471805599453,1.4122698475231514,0.1699389179755672
"29.7"" Trim Kit for LG Microwaves",7,3.0246913580246915,1.9459101490553132,1.1068090558722883,0.23931064572425828
2TB SKYHAWK SATA 5900 RPM 64MB 3.5IN,9,4.222222222222222,2.1972245773362196,1.4403615823901663,0.206151832460733
3.1-Channel Soundbar with Wireless Subwoofer and DTS Virtual:X/Dolby Digital,3,3.6885245901639343,1.0986122886681098,1.3052265380311088,0.9895470383275261
3.2 W Speaker System - Wireless Speaker(s) - Portable - Pack of 1,6,4.65,1.791759469228055,1.536867219599265,0.9817073170731707
3.3' USB Type A-to-USB Type C Device Cable,22,4.104347826086957,3.091042453358316,1.4120468572223053,0.17888307155322863
"32"" Class - (31.6"" Diag.) - LED - 720p - Smart - HDTV",1,4.666666666666667,0.0,1.540445040947149,0.9991289198606272
"3YQ22AN#140 HP 564 Black, Cyan, Magenta & Yellow Ink Cartridges Combo, 4 Cartridges",1,3.79,0.0,1.332366019094335,0.9747386759581882
4.1-Channel Curved Soundbar with Wireless Subwoofer,3,4.355263157894737,1.0986122886681098,1.4713850350907318,0.22207678883071555
5.0 Cu. Ft. High Efficiency Top Load Washer with Super Speed,152,4.318401937046005,5.0238805208462765,1.4628854118379135,0.9677700348432056
5.1-Channel Soundbar with Wireless Subwoofer,6,3.6666666666666665,1.791759469228055,1.2992829841302609,0.11518324607329843
510S-08IKL Desktop - Intel Core i3 - 4GB Memory - 1TB Hard Drive,1,4.222222222222222,0.0,1.4403615823901663,0.8702090592334495
"550 Sq. Ft. 11,500 BTU In Wall Air Conditioner",1,3.8217821782178216,0.0,1.3407168526235713,0.9381533101045296
550 Sq. Ft. Smart Window Air Conditioner,4,4.225609756097561,1.3862943611198906,1.4411635713657047,0.9869337979094077
55” Class BRAVIA XR A90J Series OLED 4K UHD Smart Google TV,1,4.654545454545454,0.0,1.5378442592470916,0.9703832752613241
"7"" - Android Auto/Apple® CarPlay™ - Built-in Bluetooth - In-Dash Digital Media Receiver",10,3.963855421686747,2.302585092994046,1.377217142968774,0.22273123909249565
7.2-Ch. with Dolby Atmos 4K Ultra HD A/V Home Theater Receiver,2,4.25748502994012,0.6931471805599453,1.4486786173864858,0.9250871080139373
"7.3 cu. ft. Ultra Large White Smart Gas Vented Dryer with EasyLoad Door, TurboSteam and Wi-Fi Enabled",3,4.583333333333333,1.0986122886681098,1.5224265354444706,0.9782229965156795
7.5 Cu. Ft. Stackable Smart Electric Dryer with Steam Sanitize+ and Sensor Dry,18,4.186147186147186,2.8903717578961645,1.4317807849315007,0.921602787456446
70” Class 7 Series LED 4K UHD Smart Tizen TV,71,4.275590551181103,4.2626798770413155,1.4529222334753442,0.19829842931937172
"8,000 BTU Smart Window Air Conditioner",1,4.298941798941799,0.0,1.4583688991442503,0.20593368237347295
980 PRO 2TB Internal Gaming SSD PCIe Gen 4 x4 NVMe,39,4.7607361963190185,3.6635616461296463,1.5604023193764565,0.13568935427574172
A League of Their Own (DVD),1,4.870967741935484,0.0,1.583292632329778,0.14616055846422338
"AC Adapter Charger For Samsung Galaxy Book 12, , SM-W720NTKBXAR SM-W720NZKBXAR",1,4.27906976744186,0.0,1.453735641915423,0.002617801047120419
AC Adapter Charger Power Cord for Lenovo IdeaPad Yoga 13 59359567,4,4.25,1.3862943611198906,1.4469189829363254,0.11910994764397906
AC1750 Dual-Band Wi-Fi Router,1,4.7727272727272725,0.0,1.5629178967992075,0.7508710801393729
AC2200 Smart Whole Home WiFi,5,3.963855421686747,1.6094379124341003,1.377217142968774,0.7578397212543554
AF-S DX NIKKOR 18-300mm f/3.5-5.6G ED VR Standard Zoom Lens,1,4.7,0.0,1.547562508716013,0.14856020942408377
"AOC e1659FWU 16"" LED USB Powered Portable Monitor with case - Adjustable Monitor Angle - 1366 x 768 - 262,000 Colors - 200 Nit - 500:1 - HD - USB - 8 W - Glossy Piano Black - ENERGY STAR 6.0, ...",3,3.838709677419355,1.0986122886681098,1.3451362886263831,0.8249128919860627
ARLO GO MOBILE HD SECURITY CAM,1,3.127659574468085,0.0,1.1402849850686776,0.9155052264808362
AS-19 Speedlight Stand,1,4.916666666666667,0.0,1.5926307941177191,0.8127177700348432
"ASPIRE E1-532-2635 Laptop Screen 15.6 SLIM LED BOTTOM RIGHT WXGA HD, Ship from USA，Brand Acer",14,4.076923076923077,2.6390573296152584,1.405342556090585,0.24781849912739964
"ASUS - ROG Zephyrus 14"" Gaming Laptop - AMD Ryzen 9 - 16GB Memory - NVIDIA GeForce RTX 3060 - 1TB SSD Notebook GA401QM-211.ZG14B PC Computer",4,3.8,1.3862943611198906,1.33500106673234,0.2262216404886562
ASUS 2020 Asus VivoBook S433FA-DS51-WH 14 FHD Laptop Intel i5-10210u 8GB 512GB Win10,1,4.1568627450980395,0.0,1.4247606419476868,0.1487783595113438
"ASUS 24"" (Actual size 23.6"") Full HD 1920 x 1080 VGA DVI-D HDMI Built-in Speakers LED Backlit LCD Monitor",17,4.369230769230769,2.833213344056216,1.4745869682655688,0.20331588132635253
"ASUS 24"" Widescreen LED Backlit LCD Monitor",13,4.425531914893617,2.5649493574615367,1.4873904779912595,0.087478184991274
"ASUS 28"" 16:9 4K IPS TUF Gaming Monitor",2,4.625,0.6931471805599453,1.5314763709643886,0.9799651567944251
ASUS AC1900 Dual-Band USB 3.1 Gen 1 Wi-Fi Adapter,8,3.8548387096774195,2.0794415416798357,1.3493291668864191,0.23080279232111695
"ASUS Designo 25"" 1440P Eye Care Monitor - QHD (2560 x 1440), 100% sRGB, IPS, DisplayPort, HDMI",3,4.428571428571429,1.0986122886681098,1.488077055429833,0.7560975609756098
"ASUS Laptop Intel Celeron N4020 (1.10GHz) 4GB Memory 128 GB eMMC SSD Intel UHD Graphics 600 14.0"" Windows 10 in S mode L410MA-DB04",1,4.384615384615385,0.0,1.4781019103730135,0.8353658536585366
"ASUS Laptop, ""14 HD Display, AMD A6-9225 Processor, 4GB DDR4 RAM, 500GB HDD, ASUS X441BA-CBA6A",11,3.090909090909091,2.3978952727983707,1.128465251817791,0.17975567190226877
"ASUS ProArt StudioBook 15 Mobile Workstation Laptop, 15.6"" UHD NanoEdge Bezel, Intel Core i7-9750H, 32 GB DDR4, 512GB+512GB RAID-0 SSD, NVIDIA GeForce RTX 2060, Windows 10 Pro, , Star Grey",2,4.0,0.6931471805599453,1.3862943611198906,0.14157940663176266
"ASUS ROG Strix Flare (Cherry MX Red) Aura Sync RGB Mechanical Gaming Keyboard with Switches, Customizable Badge, USB Pass Through and Media Controls",2,4.492537313432836,0.6931471805599453,1.5024176453579097,0.21662303664921467
"ASUS ROG Strix Flare RGB Mechanical Gaming Keyboard with Cherry MX Silent Red Switches, Aura Sync RGB Lighting, Customizable Badge, USB Pass-Through and Media Controls",1,4.111111111111111,0.0,1.413693335308005,0.837979094076655
"ASUS ROG Zephyrus M GU502GV-BI7N10 - Core i7 9750H / 2.6 GHz - Windows 10 - GF RTX 2060 - 16 GB RAM - 1 TB SSD - 15.6"" 1920 x 1080 (Full HD) @ 144 Hz - Wi-Fi 5 - brushed black",8,4.253521126760563,2.0794415416798357,1.4477471403335542,0.12412739965095987
"ASUS RT-AX92U (2 Pack) AX6100 Tri-Band Wi-Fi 6 Gaming Mesh Router with 802.11Ax, Lifetime AiProtection Security by Trend Micro, AiMesh Compatible, Adaptive QoS & Parental Control",14,4.036697247706422,2.6390573296152584,1.395426844683163,0.1736474694589878
ASUS Radeon HD 6850 1GB GDDR5 PCI Express 2.1 x16 CrossFireX Support Video Card with Eyefinity,2,4.625,0.6931471805599453,1.5314763709643886,0.7709059233449478
"ASUS TUF GAMING 25"" (Actual size 24.5"") Full HD 1920 x 1080 1ms (MPRT) 144Hz HDMI DisplayPort Built-in Speakers Extreme Low Motion Blur Adaptive-sync IPS Gaming Monitor",2,4.232558139534884,0.6931471805599453,1.442806571383233,0.16404886561954626
"ASUS TUF Gaming 27"" 16:9 HDR 165 Hz Adaptive-Sync TN Monitor",3,4.291139240506329,1.0986122886681098,1.4565522549134287,0.16863001745200698
"ASUS TUF Gaming FX705DT DR7N8 - Ryzen 7 3750H / 2.3 GHz - Windows 10 Home - GF GTX 1650 - 8 GB RAM - 512 GB SSD - 17.3"" 1920 x 1080 (Full HD) - Wi-Fi 5 - black",3,4.416666666666667,1.0986122886681098,1.4853852637641216,0.174956369982548
"ASUS VS Series 24"" (Actual size 23.6"") Full HD 1920 x 1080 60Hz HDMI VGA DVI-D SPLENDID Modes Widescreen LED Backlight LCD Monitor",5,4.526315789473684,1.6094379124341003,1.5099083170870673,0.1799738219895288
"ASUS VivoBook S15 Laptop, 15.6 FHD i5-10210U CPU 8GB RAM 512GB PCIe SSD Windows 10 Home , Moss Green-Metal",1,4.411764705882353,0.0,1.4842747694800944,0.9128919860627178
"ASUS VivoBook S15 Thin Light 15.6 FHD, Intel Core i7-8565U CPU, 8GB DDR4 RAM, PCIe NVMe 256GB SSD, Windows 10 Home, S532FA-EB",5,4.041666666666667,1.6094379124341003,1.3966571481554373,0.11976439790575917
ASUS Wireless-AC1750 Dual-Band Gigabit Router,19,4.5,2.9444389791664403,1.5040773967762742,0.0004363001745200698
"ASUS ZenBook Pro Duo UX581 15.6"" 4K UHD NanoEdge Bezel Touch, Intel Core i7-9750H, 16 GB RAM, 1 TB PCIe SSD, GeForce RTX 2060, Innovative ScreenPad Plus, Windows 10 Pro - UX581GV-XB74T, Celestial Blue",4,4.380952380952381,1.3862943611198906,1.4772661393256175,0.1956806282722513
"ASUS ZenWiFi XT8 AX6600 Wireless Tri-Band Mesh Wi-Fi System (2-Pack, White)",41,4.196428571428571,3.713572066704308,1.4342338234090097,0.0975130890052356
"ASUS® AC1900 Dual-Band Wi-Fi Gigabit Router, 1900 Mbps, 5 Port",19,4.22,2.9444389791664403,1.4398351280479205,0.18520942408376964
"Acer 15.6"" Aspire 3 Laptop AMD 3 GHz 6 GB Ram 1TB HDD Windows 10 Home - Manufacturer Refurbished",3,3.6666666666666665,1.0986122886681098,1.2992829841302609,0.22578534031413613
"Acer Aspire 5 A515-51-563W, 15.6 Full HD (1920 x 1080), 7th Gen Intel Core i5-7200U, 8GB DDR4, 1TB HDD, Windows 10 Home",2,3.933333333333333,0.6931471805599453,1.3694872428035094,0.9172473867595818
"Acer B247Y 24"" (Actual Size: 23.8"") Full HD 1920 x 1080 Height Adjustable IPS Monitor with 2 x 4W Speakers",12,4.40625,2.4849066497880004,1.4830239875784417,0.22600349040139617
"Acer Chromebook 315 15.6"" Intel Celeron N4020 1.1GHz 4GB Ram 64GB SSD Chrome OS -  Manufacturer Refurbished",1,4.615384615384615,0.0,1.529395204760564,0.0034904013961605585
"Acer ET322QK wmiipx 32"" (Actual size 31.5"") 4K 3840 x 2160 Ultra HD HDMI DisplayPort AMD FreeSync Built-in Speakers Widescreen LED Backlight LCD/LED Monitor",1,3.761904761904762,0.0,1.3249254147435985,0.23865619546247818
"Acer G7 Series G257HU smidpx 25"" WQHD 2560 x 1440 2K 4ms (GTG) DVI HDMI DisplayPort Built-in Speakers LED Backlight IPS Monitor",1,4.085714285714285,0.0,1.4074965687704935,0.21444153577661432
"Acer KG281K bmiipx 28"" Ultra HD 3840 x 2160 4K Resolution 1ms DisplayPort 2xHDMI AMD FreeSync Built-in Speakers Flicker-Free Widescreen LED Backlight Gaming Monitor",3,4.649122807017544,1.0986122886681098,1.536678558151672,0.764808362369338
"Acer Nitro 5 AN515-54-51M5 15.6"" Gaming Notebook - 1920 x 1080 - Core i5 i5-9300H - 8 GB RAM - 1 TB HDD - 128 GB SSD - Black",7,4.520833333333333,1.9459101490553132,1.5086963426325686,0.8214285714285714
Acer Predator Helios 300 Intel Core i7 9750H 2.60GHz 16 GB RAM 512 GB SSD Win10H -  Manufacturer Refurbished,3,3.875,1.0986122886681098,1.3545456628053103,0.7543554006968641
"Acer Predator XB1 XB271HU bmiprz 27"" WQHD 2560 x 1440 2K Resolution 144Hz (165Hz OverClock) HDMI DisplayPort NVIDIA G-Sync Built-in Speakers USB HUB LED Backlit IPS Gaming Monitor",2,4.394736842105263,0.6931471805599453,1.4804076526903693,0.19960732984293195
"Acer Predator XB3 XB253Q Gxbmiiprzx 24.5"" Full HD 1920 x 1080 240 Hz HDMI, DisplayPort, USB, Audio G-Sync (NVIDIA Adaptive Sync) Built-in Speakers Flat Panel IPS Gaming Monitor",2,4.333333333333333,0.6931471805599453,1.466337068793427,0.0700261780104712
"Acer SA230 - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m - 4 ms - HDMI, VGA - black",5,4.346153846153846,1.6094379124341003,1.4692912806908585,0.1695026178010471
"Acer Spin 3 Intel Core i5 10th Gen 1035G4 (1.10 GHz) 8 GB LPDDR4 Memory 512 GB NVMe SSD 14"" Touchscreen 1920 x 1080 Convertible Thin and Light 2-in-1 Laptop Windows 10 Home 64-bit",6,3.2884615384615383,1.791759469228055,1.1904198379212325,0.8179442508710801
"Acer Swift 3 SF314-55-58P9 14"" Notebook - 1920 x 1080 - Core i5 i5-8265U - 8 GB RAM - 256 GB SSD - Silver - Windows 10 Pro 64-bit",1,4.2727272727272725,0.0,1.452252328911688,0.8440766550522648
